"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Rhodostethia_rosea","Rhodostethia_rosea",12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0969100130080565,-0.1249387366083,-0.477121254719662,0.477121254719662,0.301029995663981,NA,NA,NA,NA
"Rissa_tridactyla","Rissa_tridactyla",199,1,-0.01671223512954,-0.014420358355447,-0.00908942664078594,-0.00424280618822766,-0.00206105212143526,-0.00306280194396645,-0.00480478363658914,-0.00683659731022535,-0.00723658802560678,-0.0117313253153965,-0.0159278130276853,-0.00640727275184073,-0.00626669818305373,-0.0138934711824566,-0.0125032839635881,-0.00598512042613077,-0.000549241339858468,0.0142829054256404,-0.00725475944621647,-0.0345208106196618,-0.0514347216091149,-0.0527774949887807,-0.00763223215467105,0.0128371953215509,0.0268733730615698,0.0285484880005848,0.00281606994751611,-0.0121966459705326,-0.0130035216582901,-0.0137247751760405,-0.027917693295237,-0.0417273173953385,-0.0362092435076579,-0.00306017536517248,-0.00701514590830141,0.0138755006286632,-0.0130281455401483,-0.273564729351147,-0.301029995663981,0.349485002168009,0.349485002168009,0.6232492903979,NA,NA,NA,NA
"Somateria_mollissima","Somateria_mollissima",110,1,0.0410503204764731,0.0395044540428923,0.0367493668220026,0.0334629101969902,0.0298786546650672,0.0256873521629077,0.0207155361161087,0.0153981904129001,0.0104996101834371,0.00651585481038364,0.00344799459022704,0.00747241997075869,0.00180702490492368,-0.0005383655935568,-0.00345074155323888,-0.00559554687612374,-0.00528506685144392,-0.001501901970696,0.00509178449486558,0.0118843809332375,0.0157959941409385,0.0161364306446008,-0.292842460075478,0.0985355838293833,-0.00192774098802252,-0.00357640618746286,-0.0107413490031599,-0.0106905327066835,-0.0102432203876174,-0.00993227976210864,-0.0134688670582502,-0.0134688670582896,-0.0134688670583326,-0.0134688670583687,-0.193659878873032,-0.0808945536259618,-0.0808945536260794,0.135908957554261,0.147638626703477,-0.185234638495551,0.122041497832056,0.0319354469330526,NA,NA,NA,NA
"Somateria_spectabilis","Somateria_spectabilis",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,0,0,0,NA,NA,NA,NA
"Stercorarius_longicaudus","Stercorarius_longicaudus",54,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00515037706573198,0.00515037706559682,0.00515037706542977,0.00515037706532111,0.00515037706519943,0.502575188532439,-0.49742481146788,0.123629463381286,0.082587817751869,0.0580613751078606,0.0607074049928972,0.0654019790373956,0.0715418368583659,0.0795792718515186,0.0896994316599229,0.0999293406843965,-0.028026464262093,0.0655565413735532,0.0656245439608145,-0.301029995663981,0,0,0.301029995663981,0,NA,NA,NA,NA
"Stercorarius_parasiticus","Stercorarius_parasiticus",20,1,0.0265504167412498,0.0265504167412657,0.0265504167412827,0.0265504167413014,0.0265504167413212,0.0265504167413425,0.0265504167413655,0.0265504167413897,0.0265504167414155,0.0265504167414421,0.0265504167414679,0.0265504167414923,0.0265504167415158,0.0265504167415374,0.0265504167415584,0.0265504167415778,0.0265504167415955,0.0265504167416126,0.0265504167416282,0.0281324373603439,0.0281324373606824,0.028132437361156,0.0281324373614416,0.0281324373613677,0.0281324373610613,0.0297144579799467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.1249387366083,-0.301029995663981,0,NA,NA,NA,NA
"Stercorarius_pomarinus","Stercorarius_pomarinus",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,-0.301029995663981,0.845098040014257,-0.845098040014257,0,NA,NA,NA,NA
"Sterna_paradisaea","Sterna_paradisaea",128,1,-0.119537801453056,-0.109542214448193,-0.0823128428338098,-0.0488628734359522,-0.0155058270524238,0.00183507369796398,0.00918309428235911,0.0182579388056584,0.0241158357586019,0.0243151041513206,0.00499863988740995,-0.00500138807876275,-0.0161273447777401,-0.024779718324714,-0.0275952458630953,-0.0249543188731314,-0.0190392197125544,-0.0124701446550703,-0.00609146142417825,-0.00112099869424433,0.00180259902264226,0.00288719312166898,-0.0226591526976348,-0.0228200566045533,-0.0229181284680985,-0.0229587611785741,0.00144890371723486,0.00228369295952169,0.00389135422114836,0.00602092160561191,0.00842946038157946,0.0109437823719589,0.0200761955678558,-0.00804588425953445,-0.00653856459783327,-0.0113559081636083,-0.0109662910812562,-0.0208828365405137,0.0514114285939734,-0.0235480508914172,0.0744671307503763,-0.059981727064947,-0.00975571517468288,-0.00976311024223991,NA,NA
"Uria_aalge","Uria_aalge",137,1,0.00275247722274612,0.00597746255021754,0.0048774766876428,0.00105236536328883,0.0269747577064485,0.0230811577855522,0.0196038556844582,0.0180226917168334,0.0184621747430193,0.0197575265935206,-0.00613879593214143,0.00825827004798237,0.0181496970432985,-0.00395593762788068,-0.0962374107223253,-0.216085040559697,-0.463680549301059,0.0593110325046429,0.0224368923148347,0.0113615058872168,-0.0208174448602492,-0.0465344159025459,-0.0121861423823019,0.00421784494566109,0.0276720474404244,0.0387097259206139,0.0380578645916354,0.0372450721810573,0.0372281315710771,-0.0250393479391257,-0.0271317740021202,-0.0285887357581707,-0.027056545028477,-0.0176139147878294,-0.00800535660954423,0.00493400536756949,-0.029914483587022,-0.060838472393304,NA,NA,NA,NA,NA,NA,NA,NA
"Uria_lomvia","Uria_lomvia",96,1,0.0573474654141541,0.0604359270518544,0.0443668674171469,0.0272283301568172,0.00950936929187781,0.00897145866426358,0.017703102446638,-0.00272508549177257,-0.010891646416072,-0.0100303042427437,-0.000805054592819375,0.00739791727309434,0.0110724596545022,-0.00115184582205544,-0.00218515000379278,-0.00355660914117588,-0.0107982010064181,-0.00431817877693606,0.000428933402095209,0.00858669778196948,0.01292591655336,0.00742701408404917,0.0108244431511356,0.0164917806399679,-0.00204236239119646,-0.000142742813250739,-0.0041303536787116,-0.00413035367934121,-0.00413035368009155,-0.00545194740635275,-0.0179707335148803,-0.0129850686126544,0.00968693704880592,-0.0105838117612812,-0.0136553262258003,0.011214559699845,0.0112145596997624,0.0152524968535581,NA,NA,NA,NA,NA,NA,NA,NA
