Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Dryophytes_versicolor,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00218306377039207,0.00218306377047084,0.00218306377064581,0.00218306377087291,0.18604717442142,-0.205240100860821,0.239652159245399,-0.202928635902484,0.194891119552971,0.00218306377334687,0.00218306377485133,0.0021830637763266,0.00218306377758415,0.00218306377864358,0.0021830637796359,0.00218306378064487,0.00218306378162669,0.00218306378245914,0.00218306378304128,0.00218306378335847,0.00218306378347538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dryophytes_chrysoscelis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00263056928093908,-0.00269308550355196,-0.00234243770702661,-0.00122995100294795,0.000408178701436196,0.00208194984085536,0.00361002387434828,0.00505452427490238,0.00620455741560316,0.00651482758301511,0.00569667906974577,0.00411771212759621,0.00241420030942868,0.000879294516292706,-0.000524016096270397,-0.00168236310730852,-0.00225413939075469,-0.00217077969288071,-0.0018874199330112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinella_proboscidea,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0555632399413024,-0.0313021190612362,-0.0313021190612362,-0.0313021190612363,-0.0313021190612362,-0.0313021190612362,-0.0313021190612362,-0.0313021190612363,-0.0313021190612362,-0.0313021190612361,-0.0313021190612362,-0.0313021190612362,-0.0313021190612362,-0.0313021190612363,-0.0313021190612361,-0.0313021190612363,-0.0313021190612361,-0.0313021190612364,-0.0313021190612361,-0.0313021190612361,-0.0313021190612363,-0.0313021190612361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anomaloglossus_stepheni,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0143468207919184,0.0143468207919184,0.0143468207919184,0.0143468207919184,0.0143468207919184,0.0143468207919184,0.0143468207919184,0.0143468207919184,0.0143468207919184,0.0143468207919184,0.0143468207919184,0.0143468207919184,0.0143468207919184,0.0143468207919184,0.0143468207919184,0.0143468207919184,0.0143468207919184,0.0143468207919184,0.0143468207919184,0.0143468207919184,0.0143468207919184,0.0143468207919184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis_fenestratus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0267293467967201,-0.02672934679672,-0.0267293467967201,-0.02672934679672,-0.0267293467967201,-0.0267293467967199,-0.0267293467967201,-0.02672934679672,-0.0267293467967201,-0.02672934679672,-0.02672934679672,-0.0267293467967201,-0.0267293467967201,-0.02672934679672,-0.02672934679672,-0.02672934679672,-0.0267293467967201,-0.02672934679672,-0.02672934679672,-0.02672934679672,-0.02672934679672,-0.02672934679672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis_toftae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0554621874040891,-0.055462187404089,-0.0554621874040891,-0.055462187404089,NA,NA,NA,NA,NA,NA,NA,-0.290564561985816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phyllomedusa_vaillantii,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.226617431910831,-0.226617431910831,-0.226617431910831,-0.226617431910831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachycephalus_coriaceus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.348174238314916,-0.348174238314917,-0.348174238314916,-0.348174238314917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendropsophus_sarayacuensis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.124001649720009,-0.124001649720009,-0.124001649720009,-0.124001649720009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aneides_hardii,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1249387366083,0.31162464519895,0.166872196349615,-0.0984449469924768,0.0915574774380722,0.0915574774380722,-0.00462268678978465,-0.00462268678978465,-0.134904763481137,0.0863629095958482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus_coqui,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0968677323237548,-0.0117024866279658,0.0367538003054731,0.100069190065959,0.0906821522376453,-0.0103118594179077,-0.130703848223594,-0.141726656828131,0.00191189902182465,0.0238144440717032,0.0410029303808477,0.0911166432935042,0.0519134864949289,0.0438664590366995,0.0300725821831668,0.0749829813194986,0.000217298386983145,-0.0959573913528109,-0.0354462059908926,0.00324557523051749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiopelma_pakeka,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013839072160194,0.0150216898325765,0.0150216898325766,0.0150216898325769,0.0150216898325765,0.0138396614664755,0.0238953526499011,0.0238953526499011,-0.0227731648625666,-0.00678213980702195,-0.0132691682954181,0.0178963921653756,-0.0282820612850358,-0.0346316988728708,-0.019839615367014,-0.019839615367014,-0.019839615367014,-0.0294339272670283,-0.188811166428565,-0.188811166428565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus_portoricensis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.175702478989111,-0.146864477008965,-0.0982229060637694,-0.0505648760338988,-0.0210022249935095,-0.0116938413946996,-0.0122372562700306,-0.0103520726333323,-0.000931969365974145,0.0126036235812523,0.0232806510263276,0.167833711949956,0.158427789438383,0.141627469869032,0.126707217714844,0.116125501435417,0.111505282069493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
