"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Egretta_gularis","Egretta_gularis",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.325249973340628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ephippiorhynchus_senegalensis","Ephippiorhynchus_senegalensis",7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0889410833367812,0.0737862141609187,-0.226396377367077,0.136219747017989,0.283996656365201,-0.0655015487564323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulica_cristata","Fulica_cristata",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0783131242448016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gallinago_gallinago","Gallinago_gallinago",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.985276743179294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glareola_pratincola","Glareola_pratincola",7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.922177548875547,-0.443724101449003,-0.2194169594495,-0.0875680180631273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haliaeetus_vocifer","Haliaeetus_vocifer",49,1,0.0050490992263259,0.00504909922632613,0.00504909922632635,0.0050490992263259,0.00504909922632613,0.0044160306872757,0.00441603068727603,0.00441603068727603,0.00441603068727592,0.00441603068727592,0.00441603068727581,0.00441603068727592,0.00441603068727603,0.00441603068727592,0.00441603068727603,0.00420258407435248,0.00420258407435214,0.00420258407435248,0.00420258407435248,0.00420258407435248,-0.00803344537101502,-0.00597516971557318,-0.00598859985096648,-0.00582575801988228,-0.00539746144663755,-0.0040547116248811,-0.00284981354857342,-0.00156321455877713,-0.000439169453794482,0.000493603996153132,0.0128793657303548,0.0142329789960402,0.0154256501291716,0.0161015006491666,0.00706058647770313,0.00881332860745321,0.00881332860799056,0.00881332860855366,0.00881332860890671,NA,NA,NA,NA,NA,NA,NA,NA
"Himantopus_himantopus","Himantopus_himantopus",15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.157668176228895,0.560216127141286,-0.0458848309755746,0.00673991384501704,-0.0121608993204209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Larus_cirrocephalus","Larus_cirrocephalus",31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0716979925962898,0.0716979925962972,0.0716979925962965,0.0716979925962743,0.0716979925962445,0.0716979925962362,0.0716979925962689,0.0716979925963521,0.0716979925965018,0.0716979925967562,0.0716979925971439,0.0716979925976582,0.0716979925982457,0.046191972169108,-0.0429686123949301,0.0985856690994875,0.0985856690997342,0.098585669099945,0.0985856691001091,0.0985856691002219,0.0985856691002857,0.0985856691003089,0.0985856691003085,0.0985856691003026,0.353613473217811,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Larus_hartlaubii","Larus_hartlaubii",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.428493707302785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptoptilos_crumenifer","Leptoptilos_crumenifer",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.389451898446519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Limosa_limosa","Limosa_limosa",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.433599670779316,-0.267331034322231,-0.0261201934734836,0.0787984697477819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mareca_penelope","Mareca_penelope",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120713879776111,0.120713879776111,-0.524931906920167,-0.524931906920167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Microcarbo_africanus","Microcarbo_africanus",8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416969436481642,-0.234288555926978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netta_erythrophthalma","Netta_erythrophthalma",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150109696387197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
