population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
23450,1,-1,-1,-1,-1,-1,-1,0.00245088386029169,0.00245088386029169,0.00245088386029169,0.00245088386029169,0.00245088386029124,0.00245088386029169,0.00245088386029169,0.00245088386029169,0.00245088386029169,0.00245088386029169,0.00245088386029169,0.00245088386029169,0.00245088386029169,0.00245088386029169,0.00245088386029124,0.0530134727466294,0.0530134727466294,0.0530134727466289,0.0530134727466294,0.0530134727466289,0.0530134727466294,0.0530134727466289,0.0530134727466294,0.0530134727466289,-0.0283636116781452,-0.0283636116781452,-0.0283636116781452,-0.0283636116781447,-0.0283636116781456,-0.0283636116781447,-0.0283636116781452,-0.0283636116781452,-0.0283636116781452,0.102059991327963,0.102059991327962,-1,-1,-1
14866,1,-1,-1,-1,-1,-1,-1,-1,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805019,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.211460345821668,0.268237482267674,-0.042458439022885,-0.105133438533271,-0.105133438533271,0.176091259055681,-0.954242509439325,0.69437425264687,0.0311935201829441,0.602059991327963,-0.0175496395163979,-1,-1,-1,-1,-1
14865,1,-1,-1,-1,-1,-1,-1,-1,-0.0214770691502602,-0.0214770691502597,-0.0214770691502597,-0.0214770691502602,-0.0214770691502597,-0.0214770691502597,-0.0214770691502602,-0.0214770691502597,-0.0214770691502602,-0.0214770691502597,-0.0214770691502602,-0.0214770691502597,-0.0214770691502597,-0.0214770691502597,-0.0214770691502602,-0.0214770691502597,-0.0214770691502602,-0.0214770691502597,-0.0214770691502597,-0.0214770691502602,-0.0214770691502597,0.343408593803857,-0.471252321055565,-0.529733591926087,0.24663394533511,0.24663394533511,-0.26748884742543,-0.638782798352702,1.25810179512217,0.223256512540747,-0.223256512540747,0.257304478673285,-1,-1,-1,-1,-1
22036,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0312211327792129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14864,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.194228048420689,0.136122135517206,-0.234575581986753,-1,-1,-1,-1,-1,-1
22035,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.130510998527074,-1,-1,-1
2187,1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0436471221082284,-0.0436471221082289,0.0843022380484344,0.140705030812752,-0.0212837211774741,-0.0681620660920972,-0.0681620660920967,0.0969100130080567,-0.0457574905606752,0.129439237834976,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2186,1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0443359409187063,-0.0443359409187059,0.0606249293349053,0.218922225861073,-0.0511745460525432,-0.0285951891679868,-0.0285951891679868,0.189645512697469,-0.226106812680651,0.116495925048078,0.0142909353158425,0.0142909353158425,0.0142909353158425,0.0142909353158425,0.0142909353158425,0.0138730035608754,0.0138730035608754,0.013873003560875,0.0138730035608754,0.0138730035608754,0.0138730035608754,0.0138730035608754,0.0138730035608754,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12449,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.160622716450561,-0.598757355777877,-1,-1,-1,-1,-1
23407,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0133915048719252,0.0133915048719251,0.0133915048719252,0.0133915048719252,0.0133915048719252,0.0133915048719251,0.0133915048719252,0.0133915048719252,0.0133915048719251,0.0133915048719252,0.0133915048719252,0.0133915048719251,0.0133915048719252,0.0133915048719251,0.0133915048719253,0.0133915048719251,0.0133915048719252,0.0133915048719252,0.0133915048719252,0.0133915048719251,0.0133915048719252,0.10649218306807,0.10649218306807,0.10649218306807,0.10649218306807,-0.1627272974977,-0.0871501757189002,0.009151498112135,0.00915149811213511,0.009151498112135,0.00915149811213489,0.00915149811213511,-1,-1
2193,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.00517954455579916,-0.00517954455579916,-0.00517954455579961,-0.00517954455579916,-0.00517954455579916,-0.00517954455579916,-0.00517954455579916,-0.00517954455579916,-0.00517954455579916,-0.00517954455579961,-0.00132804387190744,-0.00132804387190788,-0.00132804387190788,-0.00132804387190744,-0.00132804387190788,-0.00132804387190744,-0.00132804387190788,-0.00132804387190788,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13273,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0243774153095901,-0.0243774153095901,-0.0243774153095906,-0.0243774153095901,-0.0243774153095901,-0.0243774153095906,-0.0243774153095901,-0.0243774153095901,0.00340868409468786,0.00340868409468831,0.00340868409468831,0.00340868409468786,0.00340868409468831,0.00340868409468831,0.00340868409468831,0.00340868409468786,0.054935371103662,0.054935371103662,0.0549353711036615,-0.0511427465048211,-0.0511427465048215,-0.0511427465048215,-0.0511427465048215,-1,-1,-1,-1,-1,-1
4559,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0069414524507172,-0.0069414524507172,-0.0069414524507172,-0.0069414524507172,-0.0069414524507172,-0.0069414524507172,-0.0069414524507172,-0.00694145245071764,-0.0069414524507172,-0.0069414524507172,-0.0069414524507172,-0.0069414524507172,-0.0069414524507172,-0.0069414524507172,-0.0069414524507172,-0.0069414524507172,-0.00694145245071764,-0.0069414524507172,-0.0069414524507172,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4319,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0319429236163153,-0.0319429236163149,-0.0319429236163153,-0.0319429236163153,-0.0319429236163149,-0.0319429236163153,-0.0319429236163149,-0.0319429236163153,0.00748662825528967,0.00748662825528923,0.00748662825528967,0.00748662825528967,0.00748662825528923,0.00748662825528967,0.00748662825528967,0.00748662825528923,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20419,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0427118166949167,-0.0427118166949172,-0.0427118166949167,-0.0427118166949172,-0.0427118166949167,-0.0427118166949172,-0.0427118166949172,-0.0427118166949167,-0.0427118166949172,-0.0427118166949167,0.0264335266771676,0.026433526677168,0.0264335266771676,0.026433526677168,0.0264335266771676
15142,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.115233428100922,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
