"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Limnothrissa_miodon","Limnothrissa_miodon",11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00263765701003948,-0.0115722795825872,-0.0344105620802477,-0.0538500513009805,-0.0589566334283467,-0.0447639872067738,-0.0127636706030396,0.0291509305237889,0.0675136934761464,0.0891110994745787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithognathus_lithognathus","Lithognathus_lithognathus",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.224863925584212,0.224863925584212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marcusenius_macrolepidotus","Marcusenius_macrolepidotus",42,1,0.0463812607017138,0.0270599910134896,0.0254548451590318,-0.164304521519853,-0.385898458505312,-0.0507937383714944,-0.219431079973743,-0.005675156613412,-0.0484471605981662,0.168911503541212,0.0415002425443604,0.0496498706636963,0.0269391233404797,0.0288831272738967,0.0495171507337142,0.100029869389076,0.14757487716318,0.138611834067395,0.0554187955086973,-0.0627844656357754,-0.157948530143589,-0.202176746159439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marcusenius_ussheri","Marcusenius_ussheri",4,1,NA,NA,NA,NA,NA,0.0843208857000359,0.441648936557443,0.0177361590811095,0.0177361590811095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monodactylus_argenteus","Monodactylus_argenteus",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0791812460476249,-0.805589498730583,-0.565847818673518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monodactylus_falciformis","Monodactylus_falciformis",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0484446310803999,0.0484446310803999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mormyrops_anguilloides","Mormyrops_anguilloides",20,1,0.0636141810313573,0.0846521776638629,0.420061353557287,0.332725673492689,0.218142356325111,0.0296622321396964,-0.159940661056875,-0.255165026326758,-0.202485983176995,-0.0313201330044568,0.157337123013308,0.262004061160181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mormyrus_longirostris","Mormyrus_longirostris",50,1,0.146032407758936,0.138840520883655,0.157667188560261,0.257932694566651,-0.00174836619456871,0.0446718847997309,-0.0258109493751801,-0.109369427733078,-0.132650816497838,-0.0826196875526555,-0.0262833315725496,-0.0250208941615605,0.147236175671277,0.0619017897193508,0.028518663340616,0.00146381409145491,-0.0486311562097186,-0.0768942354936035,-0.0475373403064115,-0.00103735894023804,0.00798628355719466,-0.00919281362529822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mugil_cephalus","Mugil_cephalus",15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0866488545482578,0.149578569756483,-0.183983397742532,-0.183983397742532,-0.183983397742532,-0.184524426592544,0.143688172621139,0.0625555036646417,NA,NA,NA,0.392747932583513,0.244810703371779,-0.204279777033849,0.204146619135549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oligolepis_acutipennis","Oligolepis_acutipennis",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78837041556533,NA,NA,NA,NA,NA,NA
